Text,Tag
145,O
Invoice,B-INV_L
No,I-INV_L
.,I-INV_L
59592/15,B-INV_NO
-,I-INV_NO
16,I-INV_NO
Dated,B-INV_DL
08-Feb-16,B-INV_DT
Ref,O
.,O
No,O
.,O
SHAH,B-SUPP_N
MARKETING,I-SUPP_N
(,O
MANGALWAR,O
PETH,O
),O
409,O
Mangalwar,O
Peth,O
Llyods,O
Chambers,O
Shop,O
No,O
6Pune-11,O
20,O
-,O
Contact,O
:,O
20,O
-,O
E-Mail:sales.shahmarketing@gmail.com,O
TAX,O
INVOICE,O
Party,O
:,O
SIDDHARTH,B-BUY_N
PROPERTIES,I-BUY_N
SR,O
MHALUNGE,O
TALUKA,O
MULSI,O
.,O
PO,O
NO:9641.(8308846229,O
),O
Despatch,O
Document,O
Delivery,O
Note,O
dt,O
.,O
08-Feb-16,O
59592,O
VAT,O
%,O
Quantity,O
Rate,O
per,O
Disc,O
.,O
%,O
Amount,O
SI,O
Description,O
of,O
Goods,O
No,O
.,O
1,O
RCC,O
(,O
SPG,O
),O
PIPE,O
8,O
"""",O
X,O
2,O
MTR,O
SCH,O
CHD,O
MHALUNGE,O
5,O
50,O
Nos,O
.,O
430,O
Nos,O
.,O
1.075.00,O
OUTPUT,O
VAT,O
5,O
%,O
OUTPUT,O
VAT,O
12.5,O
%,O
Round,O
Off,O
5,O
%,O
12.5,O
%,O
Total,B-GT_AMTL
50,O
Nos,O
.,O
"22,575",B-GT_AMT
Amount,O
Chargeable,O
(,O
in,O
words,O
),O
E.,O
&,O
O.E,O
Indian,O
Rupees,O
Twenty,O
Two,O
Thousand,O
Five,O
Hundred,O
Seventy,O
Five,O
Only,O
VAT,O
Amount,O
(,O
in,O
words,O
),O
Indian,O
Rupees,O
One,O
Thousand,O
Seventy,O
Five,O
Only,O
(,O
),O
VAT,O
%,O
Assessable,O
Value,O
VAT,O
Amount,O
5,O
%,O
Company,O
's,O
VAT,O
TIN,O
:,O
27110029618,O
Vw.e.f,O
.,O
1,O
-,O
4,O
-,O
2006,O
Company,O
's,O
LBT,O
No,O
.,O
:,O
PMC,O
-,O
LBT-076,O
-,O
24351,O
Company,O
's,O
Bank,O
Details,O
Company,O
's,O
CST,O
No,O
.,O
:,O
27110029618,O
C,O
w.e.f,O
.,O
1,O
-,O
4,O
-,O
2006,O
Bank,O
Name,O
:,O
KOTAK,O
MAHINDRA,O
BANK,O
Buyer,O
's,O
VAT,O
TIN,O
:,O
27950684779V,O
Alc,O
No,O
.,O
:,O
5711312022,O
Branch,O
&,O
IFS,O
Code,O
:,O
Khadki,O
&,O
KKBK0000727,O
Declaration,O
for,O
SHAH,O
MARKETING,O
(,O
MANGALWAR,O
PETH,O
),O
i,O
/,O
we,O
hereby,O
certify,O
that,O
my,O
/,O
our,O
Registration,O
Certificate,O
under,O
the,O
Maharashtra,O
Value,O
Added,O
Tax,O
Act,O
2005,O
is,O
in,O
force,O
on,O
the,O
date,O
on,O
which,O
the,O
sale,O
of,O
the,O
goods,O
specified,O
in,O
this,O
tax,O
invoice,O
is,O
made,O
by,O
me,O
/,O
us,O
and,O
that,O
the,O
transaction,O
of,O
sale,O
covered,O
by,O
this,O
tax,O
invoice,O
has,O
been,O
effected,O
by,O
me,O
/,O
us,O
and,O
it,O
shall,O
be,O
accounted,O
for,O
in,O
the,O
turnover,O
of,O
sales,O
which,O
filling,O
of,O
return,O
and,O
the,O
due,O
tax,O
if,O
any,O
payable,O
on,O
the,O
sale,O
has,O
been,O
paid,O
or,O
shall,O
be,O
paid,O
Authorised,O
Signatory,O
This,O
is,O
a,O
Computer,O
Generated,O
Invoice,O
