Text,Tag
SUBJECT,O
TO,O
PUNE,O
JURISDICTION,O
Dated,B-INV_DL
02-Sep-17,B-INV_DT
Invoice,B-INV_L
No,I-INV_L
.,I-INV_L
03763/17,B-INV_NO
-,I-INV_NO
18,I-INV_NO
/,I-INV_NO
GST,I-INV_NO
Ref,O
.,O
No,O
.,O
SHAH,B-SUPP_N
MARKETING,I-SUPP_N
409,O
Mangalwar,O
Peth,O
Llyods,O
Chambers,O
Shop,O
No,O
6Pune-11,O
20,O
-,O
GSTIN,B-GSTL
/,I-GSTL
UIN,I-GSTL
:,O
27ADXPS3921J1ZT,B-SUPP_G
Contact,O
:,O
20,O
-,O
E,O
-,O
Mail,O
:,O
shahmarketing4@gmail.com,O
TAX,O
INVOICE,O
Party,O
:,O
SIDDHARTH,B-BUY_N
PROPERTIES,I-BUY_N
-,O
S.B.,O
Road,O
SHIMMER,O
N,O
SHINE,O
SR,O
NO:19,O
HISSA,O
NO:14,O
+,O
15,O
+,O
17,O
+,O
18,O
+,O
19,O
HIGNE,O
KHURD,O
OPP,O
SANTOSH,O
HALL,O
SINHAGAD,O
ROAD,O
PO,O
NO:11229.(8308812019,O
),O
GSTIN,B-GSTL
/,I-GSTL
UIN,I-GSTL
:,O
27AAZFS3607C1ZY,B-BUY_G
State,O
Name,O
:,O
Maharashtra,O
Code,O
:,O
27,O
Place,O
of,O
Supply,O
:,O
Maharashtra,O
Contact,O
Person,O
:,O
Mr.,O
Thube,O
/,O
Mane,O
E,O
-,O
Mail,O
:,O
nilesh.mane@saarrthigroup.co.in,O
Delivery,O
Note,O
03763/17,O
-,O
18,O
/,O
GST,O
dt,O
.,O
02-Sep-17,O
ck,O
),O
Despatch,O
Document,O
No,O
.,O
Description,O
of,O
Goods,O
HSN,O
/,O
SAC,O
Rate,O
SI,O
No,O
.,O
per,O
Disc,O
.,O
%,O
Amount,O
GST,O
Quantity,O
Rate,O
18,O
%,O
40,O
Nos,O
.,O
68101190,O
600,O
Nos,O
.,O
RCC,O
(,O
SPG,O
),O
PIPE,O
12,O
"""",O
X,O
2,O
MTR,O
SCH,O
CHD,O
KOTHRUD,O
Round,O
Off,O
SITE,O
NAME,O
:,O
RECEIVED,O
SIGN,O
:,O
DATE,O
:,O
11,O
),O
Total,B-GT_AMTL
40,O
Nos,O
.,O
"28,320",B-GT_AMT
Amount,O
Chargeable,O
(,O
in,O
words,O
),O
E.,O
&,O
O.E,O
Indian,O
Rupees,O
Twenty,O
Eight,O
Thousand,O
Three,O
Hundred,O
Twenty,O
Only,O
HSN,O
/,O
SAC,O
Taxable,O
Central,O
Tax,O
State,O
Tax,O
Total,O
Value,O
Rate,O
Amount,O
Rate,O
Amount,O
Tax,O
Amount,O
68101190,O
Tax,O
Amount,O
(,O
in,O
words,O
),O
:,O
Indian,O
Rupees,O
Four,O
Thousand,O
Three,O
Hundred,O
Twenty,O
Only,O
Company,O
's,O
PAN,O
:,O
ADXPS3921J,O
Company,O
's,O
Bank,O
Details,O
Bank,O
Name,O
:,O
KOTAK,O
MAHINDRA,O
BANK,O
A,O
/,O
C,O
No,O
.,O
:,O
5711312022,O
Branch,O
&,O
IFS,O
Code,O
:,O
Khadki,O
&,O
KKBK0000727,O
RK,O
MA,O
for,O
SHAH,O
MARKETING,O
$,O
Declaration,O
I,O
/,O
We,O
hereby,O
certify,O
that,O
my,O
/,O
our,O
registration,O
certificate,O
under,O
the,O
GST,O
Act-2017,O
is,O
in,O
force,O
on,O
the,O
date,O
on,O
which,O
the,O
sale,O
of,O
the,O
goods,O
specified,O
in,O
this,O
Tax,O
Invoice,O
is,O
made,O
by,O
me,O
/,O
us,O
and,O
that,O
ING,O
