Text,Tag
II,O
OM,O
11,O
ic,O
INDIA,B-SUPP_N
CABLES,I-SUPP_N
Corporate,O
Office,O
Address:410,O
Ishwari,O
Krupa,O
Apartments,O
Near,O
Pasodya,O
Vithobha,O
Mandir,O
Budhwar,O
Peth,O
Pune,O
-,O
411002,O
PH,O
:,O
20,O
-,O
6640,O
5720,O
/,O
5721,O
66029616,O
Website,O
:,O
www.indiacables.in,O
E,O
-,O
Mail,O
:,O
sales@indiacables.in,O
.,O
GST,B-GSTL
No,I-GSTL
.,I-GSTL
:,O
27AAFF14780E1ZC,B-SUPP_G
PAN,O
NO,O
:,O
AAFF14780E,O
Dispatch,O
From,O
:,O
Sr,O
No.164,O
Phursungi,O
Village,O
road,O
Phursungi,O
Tal,O
-,O
Haveli,O
Pune,O
-,O
412308,O
TAX,O
INVOICE,O
(,O
ORIGINAL,O
FOR,O
RECIPIENT,O
),O
Bill,O
To,O
:,O
SIDDHARTH,B-BUY_N
PROPERTIES,I-BUY_N
Ship,O
To,O
:,O
SIDDHARTH,O
PROPERTIES,O
e,O
-,O
Way,O
Bill,O
No,O
:,O
2.51209E+11,O
601,O
&,O
602,O
A,O
Wing,O
MCCIA,O
Trade,O
Tower,O
site:-,O
MADHUWANTI,O
Invoice,B-INV_L
No,I-INV_L
:,O
PH-1217,B-INV_NO
-,I-INV_NO
20,I-INV_NO
-,I-INV_NO
21,I-INV_NO
ICC,O
Complex,O
Senapati,O
Bapat,O
Road,O
S.,O
NO,O
.,O
157,O
/,O
A,O
/,O
B,O
/,O
C/2,O
Next,O
to,O
Mrutunjaya,O
Mandir,O
Near,O
Karve,O
Invoice,B-INV_DL
Date,I-INV_DL
:,O
27-Jul-20,B-INV_DT
Pune,O
-,O
411016,O
Statue,O
Karve,O
Road,O
Kothrud,O
Pune-411038,O
Order,O
No,O
:,O
SAA,O
/,O
MI/2020/14106,O
GSTIN,B-GSTL
/,I-GSTL
UIN,I-GSTL
:,O
27AAZFS3607C1ZY,B-BUY_G
contact:-9860429954,O
/,O
8208924990,O
Order,O
Date,O
:,O
04-Jul-20,O
PAN,O
No,O
.,O
:,O
AAZFS3607C,O
Mode,O
of,O
Despatch,O
:,O
Site,O
Name,O
:,O
MADHUWANTI,O
Kothrud,O
Pune,O
Payment,O
Terms,O
LR,O
.,O
No,O
/,O
Date,O
Sr,O
.,O
DESCRIPTION,O
HSN,O
GST,O
QUANTITY,O
UNIT,O
RATE,O
DISC,O
AMOUNT,O
No,O
ISAC,O
%,O
1,O
.,O
Polycab,O
1.5sqmm,O
x,O
2core,O
Copper,O
Armoured,O
Cable,O
85446090,O
18,O
3.481.00,O
Mtrs,O
85.86,O
45,O
%,O
"1,64,383.27",O
#NAME?,O
FRLS,O
-,O
Red,O
(,O
19,O
-,O
12FFG-211648,O
-,O
PH,O
-,O
2055,O
-,O
0,O
-,O
"2,055",O
Mtrs,O
),O
(,O
19,O
-,O
12FFG-215033,O
-,O
PH,O
-,O
1006,O
-,O
0,O
-,O
"1,006",O
